Data as of,Start Date,End Date,Sex,Age Years,Total deaths,COVID-19 Deaths
02/01/2023,01/01/2020,01/28/2023,Male,67 Years,113617,13291
02/01/2023,01/01/2020,01/28/2023,Female,68 Years,80480,9386
02/01/2023,01/01/2020,01/28/2023,Male,68 Years,116095,13922
02/01/2023,01/01/2020,01/28/2023,Female,69 Years,83835,9777
02/01/2023,01/01/2020,01/28/2023,Male,69 Years,117544,14204
02/01/2023,01/01/2020,01/28/2023,Female,70 Years,88038,9934
02/01/2023,01/01/2020,01/28/2023,Male,70 Years,120883,14793
02/01/2023,01/01/2020,01/28/2023,Female,71 Years,92417,10600
02/01/2023,01/01/2020,01/28/2023,Male,71 Years,123763,15107
02/01/2023,01/01/2020,01/28/2023,Female,72 Years,98687,11207
02/01/2023,01/01/2020,01/28/2023,Male,72 Years,128657,16030
02/01/2023,01/01/2020,01/28/2023,Female,73 Years,106828,11867
02/01/2023,01/01/2020,01/28/2023,Male,73 Years,136689,17102
02/01/2023,01/01/2020,01/28/2023,Female,74 Years,109093,12374
02/01/2023,01/01/2020,01/28/2023,Male,74 Years,135824,16985
02/01/2023,01/01/2020,01/28/2023,Female,75 Years,107720,11528
02/01/2023,01/01/2020,01/28/2023,Male,75 Years,132120,16060
02/01/2023,01/01/2020,01/28/2023,Female,76 Years,106374,11571
02/01/2023,01/01/2020,01/28/2023,Male,76 Years,126787,15770
02/01/2023,01/01/2020,01/28/2023,Female,77 Years,114038,12386
02/01/2023,01/01/2020,01/28/2023,Male,77 Years,132928,16630
02/01/2023,01/01/2020,01/28/2023,Female,78 Years,120010,12928
02/01/2023,01/01/2020,01/28/2023,Male,78 Years,137159,17113
02/01/2023,01/01/2020,01/28/2023,Female,79 Years,122024,12667
02/01/2023,01/01/2020,01/28/2023,Male,79 Years,136041,16678
02/01/2023,01/01/2020,01/28/2023,Female,80 Years,122271,12499
02/01/2023,01/01/2020,01/28/2023,Male,80 Years,131774,16274
02/01/2023,01/01/2020,01/28/2023,Female,81 Years,123574,12700
02/01/2023,01/01/2020,01/28/2023,Male,81 Years,129451,15737
02/01/2023,01/01/2020,01/28/2023,Female,82 Years,127365,13135
02/01/2023,01/01/2020,01/28/2023,Male,82 Years,128648,15613
02/01/2023,01/01/2020,01/28/2023,Female,83 Years,130816,13261
02/01/2023,01/01/2020,01/28/2023,Male,83 Years,128761,15672
02/01/2023,01/01/2020,01/28/2023,Female,84 Years,134504,13440
02/01/2023,01/01/2020,01/28/2023,Male,84 Years,126878,15066
02/01/2023,01/01/2020,01/28/2023,Female,85 Years and over,1780438,164992
02/01/2023,01/01/2020,01/28/2023,Male,85 Years and over,1157649,130018
